timestamp,solved,solution,guess1,result1,guess2,result2,guess3,result3,guess4,result4,guess5,result5,guess6,result6
2025-12-04T01:00:00,yes,tulip,crane,"c:absent,r:absent,a:absent,n:absent,e:absent",toils,"t:correct,o:absent,i:present,l:present,s:absent",tulip,"t:correct,u:correct,l:correct,i:correct,p:correct",,,,,,
2025-12-05T01:00:00,yes,among,crane,"c:absent,r:absent,a:present,n:correct,e:absent",suona,"s:absent,u:absent,o:correct,n:correct,a:present",ayont,"a:correct,y:absent,o:correct,n:correct,t:absent",along,"a:correct,l:absent,o:correct,n:correct,g:correct",among,"a:correct,m:correct,o:correct,n:correct,g:correct",,
2025-12-06T01:00:00,yes,waist,crane,"c:absent,r:absent,a:present,n:absent,e:absent",alios,"a:present,l:absent,i:correct,o:absent,s:present",stipa,"s:present,t:present,i:correct,p:absent,a:present",maist,"m:absent,a:correct,i:correct,s:correct,t:correct",waist,"w:correct,a:correct,i:correct,s:correct,t:correct",,
2025-12-07T01:00:00,yes,flute,crane,"c:absent,r:absent,a:absent,n:absent,e:correct",toise,"t:present,o:absent,i:absent,s:absent,e:correct",plute,"p:absent,l:correct,u:correct,t:correct,e:correct",glute,"g:absent,l:correct,u:correct,t:correct,e:correct",flute,"f:correct,l:correct,u:correct,t:correct,e:correct",,
2025-12-08T01:00:00,yes,gravy,crane,"c:absent,r:correct,a:correct,n:absent,e:absent",orals,"o:absent,r:correct,a:correct,l:absent,s:absent",tragi,"t:absent,r:correct,a:correct,g:present,i:absent",gramp,"g:correct,r:correct,a:correct,m:absent,p:absent",gravy,"g:correct,r:correct,a:correct,v:correct,y:correct",,
2025-12-09T01:00:00,yes,snide,crane,"c:absent,r:absent,a:absent,n:present,e:correct",noise,"n:present,o:absent,i:correct,s:present,e:correct",snide,"s:correct,n:correct,i:correct,d:correct,e:correct",,,,,,
2025-12-10T01:00:00,yes,erase,crane,"c:absent,r:correct,a:correct,n:absent,e:correct",urase,"u:absent,r:correct,a:correct,s:correct,e:correct",prase,"p:absent,r:correct,a:correct,s:correct,e:correct",erase,"e:correct,r:correct,a:correct,s:correct,e:correct",,,,
2025-12-11T01:00:00,yes,guess,crane,"c:absent,r:absent,a:absent,n:absent,e:present",solei,"s:present,o:absent,l:absent,e:present,i:absent",duets,"d:absent,u:correct,e:correct,t:absent,s:correct",queys,"q:absent,u:correct,e:correct,y:absent,s:correct",guess,"g:correct,u:correct,e:correct,s:correct,s:correct",,
2025-12-12T01:00:00,yes,truck,crane,"c:present,r:correct,a:absent,n:absent,e:absent",orgic,"o:absent,r:correct,g:absent,i:absent,c:present",truck,"t:correct,r:correct,u:correct,c:correct,k:correct",,,,,,
2025-12-13T01:00:00,yes,miser,crane,"c:absent,r:present,a:absent,n:absent,e:present",osier,"o:absent,s:present,i:present,e:correct,r:correct",siler,"s:present,i:correct,l:absent,e:correct,r:correct",miser,"m:correct,i:correct,s:correct,e:correct,r:correct",,,,
2025-12-14T01:00:00,yes,swing,crane,"c:absent,r:absent,a:absent,n:correct,e:absent",loins,"l:absent,o:absent,i:correct,n:correct,s:present",suint,"s:correct,u:absent,i:correct,n:correct,t:absent",spiny,"s:correct,p:absent,i:correct,n:correct,y:absent",swing,"s:correct,w:correct,i:correct,n:correct,g:correct",,
2025-12-15T01:00:00,yes,dodgy,crane,"c:absent,r:absent,a:absent,n:absent,e:absent",toils,"t:absent,o:correct,i:absent,l:absent,s:absent",dough,"d:correct,o:correct,u:absent,g:correct,h:absent",doggy,"d:correct,o:correct,g:absent,g:correct,y:correct",dodgy,"d:correct,o:correct,d:correct,g:correct,y:correct",,
2025-12-16T01:00:00,yes,segue,crane,"c:absent,r:absent,a:absent,n:absent,e:correct",toise,"t:absent,o:absent,i:absent,s:present,e:correct",pusle,"p:absent,u:present,s:present,l:absent,e:correct",segue,"s:correct,e:correct,g:correct,u:correct,e:correct",,,,
2025-12-17T01:00:00,no,,crane,"c:absent,r:correct,a:correct,n:absent,e:absent",orals,"o:absent,r:correct,a:correct,l:absent,s:correct",drats,"d:absent,r:correct,a:correct,t:absent,s:correct",krais,"k:absent,r:correct,a:correct,i:absent,s:correct",praus,"p:absent,r:correct,a:correct,u:absent,s:correct",grams,"g:correct,r:correct,a:correct,m:absent,s:correct"
2025-12-18T01:00:00,yes,rugby,crane,"c:absent,r:present,a:absent,n:absent,e:absent",loirs,"l:absent,o:absent,i:absent,r:present,s:absent",purty,"p:absent,u:correct,r:present,t:absent,y:correct",rugby,"r:correct,u:correct,g:correct,b:correct,y:correct",,,,
2025-12-19T01:00:00,yes,myrrh,crane,"c:absent,r:present,a:absent,n:absent,e:absent",loirs,"l:absent,o:absent,i:absent,r:correct,s:absent",updry,"u:absent,p:absent,d:absent,r:correct,y:present",myrrh,"m:correct,y:correct,r:correct,r:correct,h:correct",,,,
2025-12-20T01:00:00,yes,white,crane,"c:absent,r:absent,a:absent,n:absent,e:correct",toise,"t:present,o:absent,i:correct,s:absent,e:correct",utile,"u:absent,t:present,i:correct,l:absent,e:correct",white,"w:correct,h:correct,i:correct,t:correct,e:correct",,,,
2025-12-21T01:00:00,yes,quilt,crane,"c:absent,r:absent,a:absent,n:absent,e:absent",toils,"t:present,o:absent,i:correct,l:correct,s:absent",guilt,"g:absent,u:correct,i:correct,l:correct,t:correct",built,"b:absent,u:correct,i:correct,l:correct,t:correct",quilt,"q:correct,u:correct,i:correct,l:correct,t:correct",,
2025-12-22T01:00:00,no,,crane,"c:correct,r:absent,a:absent,n:present,e:absent",conus,"c:correct,o:correct,n:correct,u:absent,s:absent",conin,"c:correct,o:correct,n:correct,i:absent,n:absent",conky,"c:correct,o:correct,n:correct,k:absent,y:absent",conto,"c:correct,o:correct,n:correct,t:absent,o:absent",condo,"c:correct,o:correct,n:correct,d:absent,o:absent"
2025-12-23T01:00:00,yes,glint,crane,"c:absent,r:absent,a:absent,n:correct,e:absent",loins,"l:present,o:absent,i:correct,n:correct,s:absent",glint,"g:correct,l:correct,i:correct,n:correct,t:correct",,,,,,
2025-12-24T01:00:00,yes,spool,crane,"c:absent,r:absent,a:absent,n:absent,e:absent",toils,"t:absent,o:present,i:absent,l:present,s:present",sloyd,"s:correct,l:present,o:correct,y:absent,d:absent",spool,"s:correct,p:correct,o:correct,o:correct,l:correct",,,,
2025-12-25T01:00:00,yes,prism,crane,"c:absent,r:correct,a:absent,n:absent,e:absent",trios,"t:absent,r:correct,i:correct,o:absent,s:present",prism,"p:correct,r:correct,i:correct,s:correct,m:correct",,,,,,
2025-12-26T01:00:00,yes,speed,crane,"c:absent,r:absent,a:absent,n:absent,e:present",solei,"s:correct,o:absent,l:absent,e:correct,i:absent",styed,"s:correct,t:absent,y:absent,e:correct,d:correct",suped,"s:correct,u:absent,p:present,e:correct,d:correct",speed,"s:correct,p:correct,e:correct,e:correct,d:correct",,
2025-12-27T01:00:00,no,,crane,"c:present,r:absent,a:present,n:absent,e:absent",socia,"s:absent,o:absent,c:present,i:absent,a:present",talcy,"t:present,a:correct,l:absent,c:correct,y:absent",patch,"p:absent,a:correct,t:correct,c:correct,h:correct",match,"m:absent,a:correct,t:correct,c:correct,h:correct",gatch,"g:absent,a:correct,t:correct,c:correct,h:correct"
2025-12-28T01:00:00,yes,abbot,crane,"c:absent,r:absent,a:present,n:absent,e:absent",alios,"a:correct,l:absent,i:absent,o:correct,s:absent",adbot,"a:correct,d:absent,b:correct,o:correct,t:correct",abbot,"a:correct,b:correct,b:correct,o:correct,t:correct",,,,
2025-12-29T01:00:00,yes,fruit,crane,"c:absent,r:correct,a:absent,n:absent,e:absent",trios,"t:present,r:correct,i:present,o:absent,s:absent",bruit,"b:absent,r:correct,u:correct,i:correct,t:correct",fruit,"f:correct,r:correct,u:correct,i:correct,t:correct",,,,
2025-12-30T01:00:00,yes,decor,crane,"c:present,r:present,a:absent,n:absent,e:present",icers,"i:absent,c:present,e:present,r:present,s:absent",recto,"r:present,e:correct,c:correct,t:absent,o:present",decor,"d:correct,e:correct,c:correct,o:correct,r:correct",,,,
2025-12-31T01:00:00,yes,siren,crane,"c:absent,r:present,a:absent,n:present,e:present",senor,"s:correct,e:present,n:present,o:absent,r:present",siren,"s:correct,i:correct,r:correct,e:correct,n:correct",,,,,,
2026-01-01T01:00:00,no,,crane,"c:absent,r:absent,a:present,n:absent,e:correct",alose,"a:present,l:present,o:absent,s:absent,e:correct",laide,"l:present,a:correct,i:absent,d:absent,e:correct",table,"t:absent,a:correct,b:correct,l:correct,e:correct",hable,"h:absent,a:correct,b:correct,l:correct,e:correct",gable,"g:absent,a:correct,b:correct,l:correct,e:correct"
2026-01-02T01:00:00,yes,proof,crane,"c:absent,r:correct,a:absent,n:absent,e:absent",trios,"t:absent,r:correct,i:absent,o:correct,s:absent",drool,"d:absent,r:correct,o:correct,o:correct,l:absent",groom,"g:absent,r:correct,o:correct,o:correct,m:absent",prook,"p:correct,r:correct,o:correct,o:correct,k:absent",proof,"p:correct,r:correct,o:correct,o:correct,f:correct"
2026-01-03T01:00:00,yes,sitar,crane,"c:absent,r:present,a:present,n:absent,e:absent",ioras,"i:present,o:absent,r:present,a:correct,s:present",sitar,"s:correct,i:correct,t:correct,a:correct,r:correct",,,,,,
2026-01-04T01:00:00,yes,posse,crane,"c:absent,r:absent,a:absent,n:absent,e:correct",toise,"t:absent,o:correct,i:absent,s:correct,e:correct",louse,"l:absent,o:correct,u:absent,s:correct,e:correct",poyse,"p:correct,o:correct,y:absent,s:correct,e:correct",posse,"p:correct,o:correct,s:correct,s:correct,e:correct",,
2026-01-05T01:00:00,yes,filly,crane,"c:absent,r:absent,a:absent,n:absent,e:absent",toils,"t:absent,o:absent,i:present,l:correct,s:absent",dimly,"d:absent,i:correct,m:absent,l:correct,y:correct",hiply,"h:absent,i:correct,p:absent,l:correct,y:correct",bigly,"b:absent,i:correct,g:absent,l:correct,y:correct",filly,"f:correct,i:correct,l:correct,l:correct,y:correct"
2026-01-06T01:00:00,yes,oomph,crane,"c:absent,r:absent,a:absent,n:absent,e:absent",toils,"t:absent,o:correct,i:absent,l:absent,s:absent",dough,"d:absent,o:correct,u:absent,g:absent,h:correct",oomph,"o:correct,o:correct,m:correct,p:correct,h:correct",,,,
